mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
Panin Dana Obligasi Bersama Tiga,PT,0.4262134610867306,78,0.2779450703443547,0.1005417016741212,0.0056523682332934,-0.0038311103310472,0.0278456031724403,0.0694706941897826,4.040663270000415,0.0097464846012569,29.5,17
Allianz Fixed Income Fund 2,PT,0.381860277005968,113,2.254034074495524,0.1127019672727793,0.0101513441881045,-0.0066293394658782,0.0437592326176781,0.0828804141542147,3.14105092771092,0.0116829942895918,28.5,18
Majoris Sukuk Negara Indonesia,PT,0.3810045094369674,97,1.568372945396098,0.0435948258332333,0.0091018210748229,-0.0059271229076736,0.0455281094865764,0.0717651113004878,1.680676851801711,0.0065920551278588,28.5,19
Sucorinvest Bond Fund,PT,0.3652797371969669,108,2.19462072116764,0.0886807999625979,0.0103770794316756,-0.0051556203360909,0.0441693460006906,0.095829236669777,-4.241071673248213,0.0118346156917505,28.2,20
Simas Danamas Instrumen Negara,PT,0.3548744013991345,220,2.215730150309553,0.0973630070789142,0.0087755420049884,-0.0057222413285293,0.0373048334537524,0.0764020847565383,4.266886456647962,0.0103197966686626,27.9,21
Eastspring IDR Fixed Income Fund Kelas B,PT,0.3530672839494601,72,1.156276221350671,0.1351547480308132,0.0082045281887354,-0.0054541557966632,0.0375240012836664,0.078009997107195,3.134461354525745,0.010658781918666,27.9,22
Avrist Prime Bond Fund,PT,0.3398582271816765,139,2.145365397440566,0.0677578736069796,0.0090825150048278,-0.0059375202952966,0.0396265647959681,0.0763005701258314,2.481145559197837,0.0111717844820908,27.6,23
Capital Fixed Income Fund,PT,0.3340809965795388,120,2.024232830063431,0.0119713650048212,0.0030218862818357,-0.0019006151036593,0.02490923914613,0.0552470726478711,4.331450532867504,0.0034296410848126,27.5,24
KISI Fixed Income Fund,PT,0.3267483969682299,72,2.139933731450833,0.0653916190927841,0.0083366270045126,-0.0052689677015197,0.0360240153866884,0.0752618990673004,2.252377909258497,0.0101388023641926,27.3,25
Bahana Pendapatan Tetap Makara Prima Kelas I,PT,0.3253896381331873,38,2.06327808544364,0.0306687139702906,0.0020226875057142,-0.0015733712670354,0.0273457729627177,0.0600830379536758,2.899361198087404,0.0055445418637225,27.3,26
Sequis Pendapatan Stabil,PT,0.3212717862354295,114,2.537949489543144,0.0149528151365909,0.0074701452341007,-0.0050035565882814,0.0394958046783475,0.0697165642625776,1.56854944476679,0.0089913854346769,27.2,27
Schroder Prestasi Gebyar Indonesia II,PT,0.2980611980740013,213,1.155279905311722,0.1344089035027609,0.0082237004037484,-0.0053532156089404,0.0359875678940671,0.0720217290111813,4.302054730744213,0.0094529656102501,26.7,28
PNM Dana Bertumbuh,PT,0.2888383049262085,150,3.194904311903575,0.0610047415747008,0.0233193613145865,-0.0331574076246782,0.0555335433799999,0.089130660813419,1.094762948702655,0.0099814901324147,26.5,29
